Data Dictionary,,,
Variable,Definition,Key,
survival,Survival,"0 = No, 1 = Yes",
pclass,Ticket class,"1 = 1st, 2 = 2nd, 3 = 3rd",
sex,Sex,,
Age,Age in years,,
sibsp,# of siblings / spouses aboard the Titanic,,
parch,# of parents / children aboard the Titanic,,
ticket,Ticket number,,
fare,Passenger fare,,
cabin,Cabin number,,
embarked,Port of Embarkation,"C = Cherbourg, Q = Queenstown, S = Southampton",
,,,
,,,
Variable Notes,,,
pclass: A proxy for socio-economic status (SES),"age: Age is fractional if less than 1. If the age is estimated, is it in the form of xx.5","sibsp: The dataset defines family relations in this way…
Sibling = brother, sister, stepbrother, stepsister
",parch: The dataset defines family relations in this way...
1st = Upper,,"Spouse = husband, wife (mistresses and fiancés were ignored)","Parent = mother, father"
2nd = Middle,,,"Child = daughter, son, stepdaughter, stepson"
3rd = Lower,,,"Some children travelled only with a nanny, therefore parch=0 for them."
